ID,N_VICTIMAS,FECHA,HORA,HH,TIPO_DE_CALLE,Calle,LUGAR_DEL_HECHO_NORMALIZADO,COMUNA,longitud,Latitud,VICTIMA,ACUSADO,SEXO,EDAD,ROL_VICTIMA
20200077,2,2020-12-25,06:40:00,6,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. & PUNTA ARENAS,15,-58.47220945,-34.60111373,MOTO,AUTO,FEMENINO,30,CONDUCTOR
20200078,1,2020-12-25,05:50:00,5,CALLE,BARCO CENTENERA DEL,BARCO CENTENERA DEL 1118,7,-58.43706741,-34.63217813,BICICLETA,PASAJEROS,MASCULINO,26,CICLISTA
20200079,1,2020-12-27,04:15:00,4,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & ACCESO NORTE - PANAMERICANA",12,-58.49332664,-34.54836855,MOTO,OBJETO FIJO,MASCULINO,28,CONDUCTOR
20210001,1,2021-01-06,18:00:00,18,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AU FRONDIZI KM. 3,1,-58.37960727,-34.62622851,MOTO,AUTO,MASCULINO,36,CONDUCTOR
20210002,1,2021-01-07,10:20:00,10,AVENIDA,"CASTRO, EMILIO AV.","CASTRO, EMILIO AV. & MURGUIONDO",9,-58.51061062,-34.64972472,MOTO,CARGAS,FEMENINO,47,CONDUCTOR
20210003,1,2021-01-10,07:40:00,7,AUTOPISTA,AUTOPISTA 25 DE MAYO,"AU 25 DE MAYO KM. 3,7",7,-58.43052224,-34.62941648,MOTO,OBJETO FIJO,MASCULINO,27,CONDUCTOR
20210004,1,2021-01-11,09:12:18,9,AVENIDA,CASEROS AV.,CASEROS AV. & GUARANI,5,-58.41455544,-34.63866836,PEATON,CARGAS,FEMENINO,61,PEATON
20210005,1,2021-01-11,21:30:00,21,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. 3800",9,-58.46774439,-34.64730145,PEATON,AUTO,MASCULINO,73,PEATON
20210006,1,2021-01-12,21:00:00,21,AUTOPISTA,AUTOPISTA ARTURO ILLIA,AU ILLIA & SARMIENTO AV.,14,-58.40786274,-34.56726817,MOTO,CARGAS,FEMENINO,23,PASAJERO
20210007,1,2021-01-18,10:00:00,10,AVENIDA,DE LOS CONSTITUYENTES AV.,DE LOS CONSTITUYENTES AV. & GIRIBONE,15,-58.48744301,-34.58622275,MOTO,MOTO,MASCULINO,84,CONDUCTOR
20210008,1,2021-01-22,23:30:00,23,AVENIDA,SAENZ AV.,"SAENZ AV. & RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.41657793,-34.65476216,PEATON,PASAJEROS,MASCULINO,28,PEATON
20210009,1,2021-01-23,05:30:00,5,AVENIDA,PAYSANDU,PAYSANDU & GAONA,6,-58.45351111,-34.61134937,MOTO,OBJETO FIJO,MASCULINO,31,CONDUCTOR
20210010,1,2021-01-23,08:00:00,8,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & BALBIN, RICARDO, DR. AV.",12,-58.5007381,-34.5497951,MOTO,AUTO,MASCULINO,28,CONDUCTOR
20210011,1,2021-01-27,01:04:26,1,AVENIDA,SANTA FE AV.,SANTA FE AV. 1675,2,-58.39144148,-34.59564871,PEATON,AUTO,MASCULINO,21,PEATON
20210012,1,2021-01-29,20:07:22,20,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.",AU DELLEPIANE & GUAMINI,8,-58.48191128,-34.68385968,PEATON,AUTO,MASCULINO,42,PEATON
20210013,1,2021-01-31,06:10:00,6,AVENIDA,"FALCON, RAMON L.,CNEL.","FALCON, RAMON L., CNEL. & OLIVERA AV.",10,-58.48727942,-34.63652467,MOTO,OBJETO FIJO,MASCULINO,41,CONDUCTOR
20210014,1,2021-02-02,00:50:00,0,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. & NOGOYA,15,-58.48328708,-34.59779521,PEATON,AUTO,MASCULINO,28,PEATON
20210015,1,2021-02-06,03:05:00,3,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. & TINOGASTA,15,-58.49018543,-34.5972499,MOTO,OBJETO FIJO,MASCULINO,26,CONDUCTOR
20210016,1,2021-02-14,05:50:00,5,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. & DE LA TORRE, LISANDRO",8,-58.47230127,-34.68482689,AUTO,OBJETO FIJO,MASCULINO,22,CONDUCTOR
20210017,1,2021-02-17,04:10:00,4,AVENIDA,SALTA,SALTA & CASEROS AV.,1,-58.38262614,-34.63168269,MOTO,PASAJEROS,MASCULINO,33,CONDUCTOR
20210018,1,2021-02-20,19:00:00,19,CALLE,"JAURES, JEAN","JAURES, JEAN & PERON, JUAN DOMINGO, TTE. GENERAL",3,-58.41047268,-34.60793518,PEATON,AUTO,MASCULINO,36,PEATON
20210019,1,2021-02-21,01:20:00,1,AVENIDA,TRIUNVIRATO AV.,"TRIUNVIRATO AV. & LARRALDE, CRISOLOGO AV.",12,-58.49659234,-34.56353635,MOTO,OBJETO FIJO,MASCULINO,30,CONDUCTOR
20210020,1,2021-02-21,15:00:00,15,CALLE,POTOSI,POTOSI & GASCON,5,-58.42462955,-34.60727189,PEATON,CARGAS,FEMENINO,42,PEATON
20210021,1,2021-02-26,05:30:00,5,CALLE,"YRIGOYEN, HIPOLITO","YRIGOYEN, HIPOLITO &  24 DE NOVIEMBRE",3,-58.41168345,-34.61185625,MOTO,OBJETO FIJO,MASCULINO,39,CONDUCTOR
20210022,1,2021-02-28,12:00:00,12,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. & ROOSEVELT FRANKLIN D.,13,-58.45157681,-34.55217303,PASAJEROS,DESCONOCIDO,MASCULINO,68,PASAJERO
20210024,1,2021-03-03,16:30:00,16,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. & PIEDRA BUENA AV",9,-58.49573651,-34.67006054,BICICLETA,CARGAS,MASCULINO,5,CICLISTA
20210025,1,2021-03-11,03:45:00,3,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & DELLEPIANE, LUIS, TTE. GRAL",8,-58.48695354,-34.68795245,MOTO,OTRO,MASCULINO,37,CONDUCTOR
20210026,1,2021-03-15,02:35:00,2,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,"AU FRONDIZI ALTURA QUINQUELA MARTIN, BENITO",4,-58.37562539,-34.64449357,MOTO,OBJETO FIJO,MASCULINO,36,CONDUCTOR
20210027,1,2021-03-16,15:30:00,15,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & DONADO",12,-58.49491054,-34.54795581,MOTO,CARGAS,FEMENINO,19,CONDUCTOR
20210028,1,2021-03-29,17:20:00,17,AVENIDA,COREA AV.,"COREA AV. & TORRES & TENORIO, PRES",7,-58.44147621,-34.64357704,PEATON,PASAJEROS,MASCULINO,42,PEATON
20210029,1,2021-03-31,18:05:00,18,AVENIDA,"FALCON, RAMON L.,CNEL.","FALCON, RAMON L., CNEL. & SAN PEDRITO AV.",7,-58.46899119,-34.63215432,AUTO,AUTO,MASCULINO,26,CONDUCTOR
20210030,1,2021-04-03,18:30:00,18,CALLE,FINOCHIETTO ENRIQUE DR.,FINOCHIETTO ENRIQUE DR. 1623,4,-58.38685612,-34.63455776,PEATON,PASAJEROS,MASCULINO,36,PEATON
20210031,1,2021-04-07,10:29:00,10,AVENIDA,9 DE JULIO AV.,9 DE JULIO AV. E INDEPENDENCIA AV.,1,-58.38113667,-34.61765323,PEATON,CARGAS,FEMENINO,68,PEATON
20210032,1,2021-04-10,19:55:00,19,AUTOPISTA,"CANTILO, INT.","AU CANTILO & GUIRALDES, INT.",13,-58.44112678,-34.54538956,PEATON,MOTO,MASCULINO,60,PEATON
20210033,1,2021-04-14,17:50:00,17,AUTOPISTA,AUTOPISTA 25 DE MAYO,AU 25 DE MAYO ALTURA BAJADA BOEDO AV.,5,-58.41595919,-34.62743346,AUTO,OBJETO FIJO,MASCULINO,33,CONDUCTOR
20210034,1,2021-04-19,14:40:00,14,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. & ZAVALETA",4,-58.40184094,-34.64546845,MOTO,CARGAS,FEMENINO,26,PASAJERO
20210035,1,2021-05-03,09:20:00,9,AVENIDA,"JANER, ANA MARIA","JANER, ANA MARIA & LAFUENTE AV.",8,-58.44642231,-34.65679806,MOTO,CARGAS,MASCULINO,24,CONDUCTOR
20210036,1,2021-05-09,06:00:00,6,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,MOTO,OBJETO FIJO,MASCULINO,36,CONDUCTOR
20210037,1,2021-05-11,07:10:00,7,AVENIDA,MONROE,"MONROE & BALBIN, RICARDO, DR. AV.",13,-58.46649069,-34.56219075,PEATON,PASAJEROS,FEMENINO,58,PEATON
20210038,1,2021-05-14,11:40:00,11,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. & SANTA FE AV.",14,-58.42653328,-34.57816791,MOTO,CARGAS,FEMENINO,44,CONDUCTOR
20210039,1,2021-05-15,12:09:00,12,AVENIDA,OLIDEN,"OLIDEN & ALBERDI, JUAN BAUTISTA AV.",9,-58.50407099,-34.65303372,BICICLETA,AUTO,MASCULINO,86,CICLISTA
20210040,1,2021-05-20,05:50:00,5,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,AUTO,MASCULINO,27,CONDUCTOR
